,,,,,,,,,,
,,,,,,,,,,
,Area,Orientación,Materia,Clave,Tipo,Teoria,Práctica,Totales,Creditos,Prerrequisito
,OA,AG,Ingeniería económica aplicada,ID990,CT,20,60,80,7,
,OA,AG,Métodos de optimización,ID991,CT,20,60,80,7,Formulación y evaluación de proyectos
,OA,AG,Programación avanzada de PLC,ID992,CT,40,40,80,8,Controladores lógicos programables
,OA,AG,Programación en software especializado,ID993,CT,60,20,80,9,Programación estructurada
,OA,AG,Programación para dispositivos móviles,ID994,CT,60,20,80,9,
,OA,AG,Sistemas robóticos,ID995,CT,20,60,80,7,
,OA,AG,Sistemas robóticos avanzados,ID996,CT,60,20,80,9,Sistemas robóticos
,OA,AG,Sistemas robóticos avanzados,ID996,CT,60,20,80,9,Sistemas robóticos
,OA,OH,"Ciencia, tecnología y sociedad",ID997,CT,40,20,60,6,
,OA,OH,Ética,D1394,CT,40,20,60,6,
,OA,OH,Historia de la ciencia,ID998,CT,40,20,60,6,
,OA,OH,Historia de la tecnología,ID999,CT,40,20,60,6,
,OA,OH,Deontología histórica de la ciencia,IE001,CT,40,20,60,6,
,OA,OH,Propiedad Intelectual,D1471,CT,40,20,60,6,
,OA,OEA,Administración de negocios,IE002,CT,40,20,60,6,
,OA,OEA,Liderazgo,IE003,CT,20,60,80,7,
,OA,OEA,Plan de negocios I,IE004,CT,20,60,80,7,
,OA,OEA,Plan de negocios II,IE005,CT,20,60,80,7,
,OA,OEA,Emprendimiento,IE006,CT,20,60,80,7,
,,,,,,,,,,
,,,Áreas de Formación,Créditos,%,Cursado,%,,,
,,,Área de formación básica común,187,44,,,,,
,,,Área de formación básica particular obligatoria,123,30,,,,,
,,,Área de formación Especializante obligatoria,31,7,,,,,
,,,Área de formación Especializante selectiva,40,9,,,,,
,,,Área de formación optativa abierta (42 créditos):,,,,,,,
,,,Optativa abierta del área general,18,4,,,,,
,,,Optativa abierta del área sociales y humanidades,12,3,,,,,
,,,Optativa abierta del área de económico administrativa,12,3,,,,,
,,,Número mínimo de créditos requeridos para egresar de la carrera,423,100,,,,,
,,,,,,,,,,
,,,Proyecto modular,,,,,,,
,,,Inglés B1,,,,,,,
,,,Servicio Social,,,,,,,
,,,Prácticas Profesionales,,,,,,,
